:displayName Deutsch

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Bewohnter Planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'choiceText	'We don't have time for your pseudo-morality [prepare for combat]	'Wir haben keine Zeit für Ihre Pseudo-Moral [bereiten Sie sich auf den Kampf vor]	100		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab; 2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab
'okButtonText	'What? [prepare for combat]	'Wie bitte? (macht sich bereit für den Kampf)	7		'1558037196:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 920984994:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'text	'Aha! Your answer was incrorrect, and thus, the universe has spoken: those who do not know the simplest of truths (especially that the right way to sleep is tentacles on the left, tail on the right) must be put do death. Everybody knows that the greatest blasphemy is perverting the holy union of consciousness and sleep with disgusting body positions.	'"Aha! Deine Antwort war falsch, und damit hat das Universum gesprochen: Wer die einfachsten Wahrheiten nicht kennt (vor allem, dass die richtige Art zu schlafen Tentakel links, Schwanz rechts ist), muss sterben. Jeder weiß, dass es die größte Blasphemie ist, die heilige Vereinigung von Bewusstsein und Schlaf mit ekelhaften Körperpositionen zu pervertieren."	600		'1558037196:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 920984994:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'title	'The Moralors are pleased	'Die Moralischen sind erfreut	35		'594408672:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 2104840118:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'text2	'"Ahh, such pleasure to meet an enlightened group. That is correct, indeed the only moral way to sleep is tentacles on the left, tail on the right. Sleeping differently is the most disgusting offence, deeply blasphemous to the god who must witness it, and of course endangering the moral integrity of our Moralor culture. Go in peace."	'"Ahh, welch eine Freude, eine aufgeklärte Gruppe zu treffen. Das ist richtig, in der Tat ist die einzige moralische Art zu schlafen Tentakel links, Schwanz rechts. Anders zu schlafen ist das ekelhafteste Vergehen, zutiefst blasphemisch für den Gott, der es mit ansehen muss, und natürlich eine Gefährdung der moralischen Integrität unserer Moralischen-Kultur. Geht in Frieden."	400		'594408672:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 2104840118:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'choiceTexts	'[Attack these religious psychopaths]	'[Greift diese religiösen Psychopathen an]	100		'594408672:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 2104840118:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab

'Ambusher L1b or 2b Phobian pirates x 2.prefab
'title	'Phobian Pushers	'Phobienschieber	35		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text	'We offer you a chance to buy an exotic crystal. If you refuse, our heavy projectile firepower will penetrate your shields, ensuring considerable loss of material and crew, even if you defeat us. Accept this offer instead, and we can all peacefully go home. What do you say?	'Wir bieten Ihnen die Möglichkeit, einen exotischen Kristall zu kaufen. Wenn Sie ablehnen, wird unser schweres Projektilfeuer Ihre Schilde durchdringen und für erhebliche Verluste an Material und Besatzung sorgen, selbst wenn Sie uns besiegen. Nehmen Sie stattdessen dieses Angebot an, und wir können alle friedlich nach Hause gehen. Was sagen Sie dazu?	400		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'choiceText	'Buy 1 exotics for 100 credits	'Kaufen [+1 Exot, -100 Kredite]	100		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'choiceText	'We won't yield to extortion, however elaborate [prepare for combat]	'Wir lassen uns nicht erpressen, auch wenn es noch so aufwändig ist.	100		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text	'Two small vessels approaching tactical weapons range. No high-energy weapons detected.	'Zwei kleine Schiffe nähern sich der taktischen Waffenreichweite. Keine Hochenergiewaffen entdeckt.	600		'1250560073:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'text	'"Ah, you do not have enough cash? Then we must unfortunately make you into scrap. Nothing personal, of course. Good bye."	'"Ah, Sie haben nicht genug Geld? Dann müssen wir Sie leider zu Schrott machen. Nichts Persönliches, natürlich. Auf Wiedersehen."	600		'1634832061:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 1148403675:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text2	'The "exotic" crystal we receive in return for our credits turns out to be a fake one, made of synthetic materials with no exotic properties.	'Der "exotische" Kristall, den wir im Gegenzug für unsere Kredite erhalten, entpuppt sich als Fälschung, hergestellt aus synthetischen Materialien ohne exotische Eigenschaften.	400		'572390032:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'text	'Should we attack the Phobian pirates? They are leaving, but still within tactical distance.	'Sollen wir die phobischen Piraten angreifen? Sie ziehen ab, sind aber noch in taktischer Distanz.	400		'1286914365:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 800485979:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'choiceText	'Move on	'Weitermachen	100		'1286914365:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 800485979:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'choiceText	'They disrespected us twice. Attack!	'Sie haben uns zweimal nicht respektiert. Greift an!	100		'1286914365:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab

'Ambusher L2b and 3b Moleculaati mortal combat.prefab
'displayName	'Mortality Duellists	'Sterblichkeits Duellanten	25		'787788505:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab; 91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text	'An unknown ship is rapidly approaching tactical range. It broadcasts a high-level safety verification signal, meaning the ship and its crew should be safe to us without provocation.	'Ein unbekanntes Schiff nähert sich schnell der taktischen Reichweite. Es sendet ein hochrangiges Sicherheitsverifizierungssignal, was bedeutet, dass das Schiff und seine Besatzung ohne Provokation für uns sicher sein sollten.	600		'216297908:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text	'"Hello, fellow claims-to-be-consciousness! We are Mortality Duellists, seeking the thrill of mortal combat. And yes, we have a mysterious Moleculaati ship, though we are obviously not Moleculaati, just a normal multispecies group. Would you be interested in participation in a Death Duel? As per tradition, only one ship survives. No pressure, of course."	'"Hallo, Kameraden, die ihr das Bewusstsein erlangt habt! Wir sind Sterblichkeits Duellanten und suchen den Nervenkitzel des tödlichen Kampfes. Und ja, wir haben ein mysteriöses Moleküli-Schiff, obwohl wir offensichtlich keine Moleküli sind, nur eine normale Multispezies-Gruppe. Wären Sie an der Teilnahme an einem Todesduell interessiert? Wie es die Tradition will, überlebt nur ein Schiff. Kein Druck, natürlich."	400		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'choiceText	'Perhaps our crew can introduce you other entertainments instead?	'Vielleicht kann Ihnen unsere Besatzung stattdessen andere Unterhaltungen anbieten?	100		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'choiceText	'Thank you for the invitation, we pass. Goodbye.	'Danke für die Einladung, wir lehnen ab. Auf Wiedersehen.	100		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'choiceText	'No harm in a friendly duel to the death [prepare for combat]	'Ein freundschaftliches Duell bis zum Tod kann nicht schaden [auf den Kampf vorbereiten]	100		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'title	'Post-party report	'Bericht nach der Party	35		'52600093:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab; 112596143:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text2	'Our crew took time to socialize with the adventurers who had chosen such an unusual entertainment. Alien concepts were shared, and many delights demonstrated or explained to the Duellists. Many new relationship was formed and both crews reported high level of satisfaction from the encounter.	'Unsere Besatzung nahm sich Zeit, um sich mit den Abenteurern zu unterhalten, die eine so ungewöhnliche Unterhaltung gewählt hatten. Fremde Konzepte wurden ausgetauscht, und viele Köstlichkeiten wurden den Duellanten vorgeführt oder erklärt. Viele neue Beziehungen wurden geknüpft und beide Besatzungen berichteten von einer hohen Zufriedenheit mit der Begegnung.	400		'52600093:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text2	'The crews of two ships organized a recreational party, and it was pretty wild. Many new forms of pleasure were \ndemonstrated or shared with the aliens, along with cultural concepts, games and physical activities. Unfortunately, there was an accident during one of the games, as one of our crew got bitten too hard. It will grow back later though.	'Die Besatzung von zwei Schiffen organisierten eine Freizeitparty, und die war ziemlich wild. Viele neue Formen des Vergnügens wurden \ndemonstriert oder mit den Aliens geteilt, zusammen mit kulturellen Konzepten, Spielen und körperlichen Aktivitäten. Leider gab es bei einem der Spiele einen Unfall, da eines unserer Besatzungsmitglieder zu stark gebissen wurde. Es wird aber später wieder nachwachsen.	400		'112596143:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'okButtonText	'Grant crew the permission to party	'Der Besatzung die Erlaubnis zum Feiern geben	7		'1782381849:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text	'Why, that is a very generous offer. We have tried thousands of entertainments, and are always ready to explore new experiences. We assure your crew is safe to enter our ship as guests, to show us your ways of Fun.	'"Das ist ja ein sehr großzügiges Angebot. Wir haben tausende von Unterhaltungen ausprobiert und sind immer bereit, neue Erfahrungen zu machen. Wir versichern, dass Ihre Besatzung sicher ist, unser Schiff als Gäste zu betreten, um uns Ihre Art von Spaß zu zeigen."	600		'1782381849:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab

'Ambusher L2b Phobians, londiste 1x3.prefab
'displayName	'Phobian fleet	'Phobische Flotte	25		'665965456:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 370778553:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab; 770454143:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1966636870:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 2060732189:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'title	'Phobian tax officer	'Phobischer Steuereintreiber	35		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab; 1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text	'You are in Phobian space, and we saw you coming. Our leaders have decided to pre-emptively destroy you because of the danger you are to the stability of our society, especially our family values, children and small animals. It doesn't matter if you pay us, though.	'Sie befinden sich im phobischen Raum, und wir haben Sie kommen sehen. Unsere Anführer haben beschlossen, Sie präventiv zu vernichten, da Sie eine Gefahr für die Stabilität unserer Gesellschaft darstellen, insbesondere für unsere Familienwerte, Kinder und Kleintiere. Es spielt aber keine Rolle, ob Sie uns bezahlen.	400		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab
'choiceText	'Pay 80 credits	'Zahlen Sie [-80 Kredite]	100		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab
'choiceText	'Your excuse does not make sense [prepare for combat].	'Ihre Ausrede macht keinen Sinn [bereiten Sie sich auf den Kampf vor].	100		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab; 1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text	'A small fleet of ship is approaching tactical weapons range. They are using decoys to make the exact contents of their fleet unclear from this range.	'Eine kleine Flotte von Schiffen nähert sich der taktischen Waffenreichweite. Sie verwenden Köder, um den genauen Inhalt ihrer Flotte aus dieser Entfernung unklar zu machen.	600		'1838673980:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 991861746:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 1543487077:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text2	'Your threat to stability neutralization payment has been accepted, you must pay each fleet separately. As s token of hospitality of Phobian Civilization, we also give you a medal of Exceptional Compliance. It is very big.	'"Ihre Androhung der Stabilisierungszahlung wurde angenommen, Sie müssen jede Flotte einzeln bezahlen. Als Zeichen der Gastfreundschaft der phobischen Zivilisation, geben wir Ihnen auch eine Medaille für außergewöhnliche Compliance. Sie ist sehr groß."	400		'1160503939:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 313691705:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 407787024:dlc2/Ambusher L2b Phobians, londiste 4.prefab; 865317036:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab; 1264992626:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab
'reasonToDisplay	'Phobian fleet paid	'Phobische Flotte bezahlt	30		'dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab; dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab

'Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab
'text	'Attention, foreign ship! Our leaders have found your ship presents a danger to the stability of our civilization, especially our long standing traditions of peace & hospitality. It doesn't matter if you pay us, though.	'"Achtung, fremdes Schiff! Unsere Führer haben festgestellt, dass Ihr Schiff eine Gefahr für die Stabilität unserer Zivilisation darstellt, insbesondere für unsere langjährigen Traditionen des Friedens und der Gastfreundschaft. Es spielt keine Rolle, ob Sie uns bezahlen."	400		'1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab

'Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text	'Our scientists have uncovered that your ship is a Chaotic Element, disrupting the Phobian way of life, especially our traditional wiews about saying important welcoming words. It means we're forced to destroy you for logical reasons. It doesn't matter if you pay us, though.	'Unsere Wissenschaftler haben herausgefunden, dass Ihr Schiff ein chaotisches Element ist, das die phobische Lebensweise stört, insbesondere unsere traditionellen Gewohnheiten, wichtige Begrüßungsworte zu sagen. Das heißt, wir sind gezwungen, Sie aus logischen Gründen zu zerstören. Es macht aber nichts, wenn Sie uns bezahlen.	400		'1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'choiceText	'Pay 100 credits	'Zahlen Sie [-100 Kredite]	100		'1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab

'Ambusher L2b Phobians, londiste 3 and 1.prefab
'text	'Because of the danger you are to the stability of our society (especially our young, since your actions may scare them) we have received orders to destroy your ship or collect relevant taxes to neutralize the societal damage you are causing.	'"Aufgrund der Gefahr, die Sie für die Stabilität unserer Gesellschaft darstellen (insbesondere für unsere Jugend, da Ihre Handlungen sie verängstigen könnten), haben wir den Befehl erhalten, Ihr Schiff zu zerstören oder entsprechende Steuern einzutreiben, um den gesellschaftlichen Schaden, den Sie verursachen, zu neutralisieren."	400		'77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab
'choiceText	'Pay 150 credits	'Zahlen Sie [-150 Kredite]	100		'77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'text	'Two Phobian ships approaching tactical weapons range.	'Zwei phobische Schiffe nähern sich der taktischen Waffenreichweite.	600		'1943162667:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab

'Ambusher L2b Phobians, londiste 4.prefab
'text	'You are in Phobian space, which means you are causing problems to our understanding of reality, which (as everybody knows) only contains one sentient species, the Phobians (the Rats do not count). You must immediately pay the reality-disruption tax or be destroyed.	'"Sie befinden sich im phobischen Raum, was bedeutet, dass Sie Probleme mit unserem Verständnis der Realität verursachen, in der es (wie jeder weiß) nur eine empfindungsfähige Spezies gibt, die Phobier (die Ratten zählen nicht). Sie müssen sofort die Realitätsstörungssteuer bezahlen oder werden zerstört."	400		'1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'text	'A large Phobian ship is approaching tactical weapons range.	'Ein großes phobisches Schiff nähert sich der taktischen Waffenreichweite.	600		'1085957065:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'reasonToDisplay	'Phobian officer paid	'Phobischer Offizier bezahlt	30		'dlc2/Ambusher L2b Phobians, londiste 4.prefab

'Ambusher L3b Hunter Crab.prefab
'title	'Hunter Captain	'Jäger-Kapitän	35		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'text	'Alien vessel, you have stranded into our ever-changing food hunting grounds during the Prime Gorging Season. We must destroy and eat you, except if you prepare us the finest of your foods and satisfy our Holy Hunger.	'"Außerirdisches Schiff, du bist während der Hauptfresssaison in unseren ständig wechselnden Nahrungsgründen gestrandet. Wir müssen euch zerstören und fressen, es sei denn, ihr bereitet uns die feinsten eurer Nahrungsmittel zu und stillt unseren heiligen Hunger."	400		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'choiceText	'Print delicious foods as a bribe [-120 organics]	'Druckt köstliche Speisen als Bestechung [-120 Organik]	100		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'choiceText	'You think about food too much [prepare for combat].	'Ihr denkt zu viel über Essen nach [Vorbereitung auf den Kampf].	100		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'text	'A single, large ship is approaching tactical weapons range. It seems technologically very advanced.	'Ein einzelnes, großes Schiff nähert sich der taktischen Waffenreichweite. Es scheint technologisch sehr fortschrittlich zu sein.	600		'601208352:dlc2/Ambusher L3b Hunter Crab.prefab
'text2	'We would have rather preferred to eat the contents of your lifepods instead, but the nom-nomings you prorvided were satisfactory. We especialy enjoyed the Chokulaatu. Go in peace.	'"Wir hätten es vorgezogen, stattdessen den Inhalt Eurer Rettungskapseln zu essen, aber die Lecker-Leckeris, die Ihr uns gegeben habt, waren zufriedenstellend. Vor allem das Chokulaatu hat uns gut geschmeckt. Geht in Frieden."	400		'2070521959:dlc2/Ambusher L3b Hunter Crab.prefab
'reasonToDisplay	'Hunters fed	'Jäger gefüttert	30		'dlc2/Ambusher L3b Hunter Crab.prefab
'text	'"How dare you suggest we think too much about nom-nomings!? It is our holy duty, an existential burden, a way of life, a philosophy too deep for you to understand. We look forward to eating your remains. Also, you're very ugly."	'"Wie kannst du es wagen, zu behaupten, wir würden zu viel über Lecker-Leckeris nachdenken!? Es ist unsere heilige Pflicht, eine existenzielle Last, eine Lebensweise, eine Philosophie, die zu tief ist, als dass ihr sie verstehen könntet. Wir freuen uns darauf, eure Überreste zu essen. Außerdem bist du sehr hässlich."	600		'985480337:dlc2/Ambusher L3b Hunter Crab.prefab

'Ambusher L3b pirates, 3x tigercubs.prefab
'text	'"OH, YOU, THE WEAKLING! [cruel laughter]"	'"OH, DU, DER SCHWÄCHLING!" (grausames Lachen)	600		'2101405423:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 807394251:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'"THE TIGER CLAN DESTROY YOU WEAKLING, GIVE CRYSTAL FOR LIFE."	'"DER TIGER-KLAN VERNICHTET DICH SCHWÄCHLING, GIB KRISTALL FÜR DAS LEBEN."	400		'573944347:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab
'text	'After seeing us getting ready for battle, the hostile ships turn around and start leaving the area. Perhaps they were bluffing?	'Nachdem sie gesehen haben, dass wir uns auf den Kampf vorbereiten, drehen die feindlichen Schiffe um und verlassen das Gebiet. Vielleicht haben sie geblufft?	400		'892166441:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 1745638917:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text2	'"GREAT TIGER CLAN IS VERY ETHICAL, ONLY TAKE CRYSTAL."	'"DER GROSSE TIGER CLAN IST SEHR ETHISCH, NEHMT NUR KRISTALL."	400		'252939238:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 1106411714:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text2	'The pirates leave as we receive the package.	'Die Piraten verschwinden, als wir das Paket erhalten.	400		'1563909740:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 269898568:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'TAKE THREE WEAPONS, WE LEAVE QUICKLY, NO FIGHT.	'"NEHMT DREI WAFFEN, WIR VERSCHWINDEN SCHNELL, KEIN KAMPF."	400		'2082571271:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab
'choiceText	'Deal [receive three weapons]	'Handel [drei Waffen erhalten]	100		'2082571271:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 788560099:dlc2/Ambusher L3b pirates, guardian 2.prefab
'choiceText	'Your piracy ends today [proceed to battle]	'Eure Piraterie endet heute [geht zum Kampf über]	100		'2082571271:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 788560099:dlc2/Ambusher L3b pirates, guardian 2.prefab

'Ambusher L3b pirates, guardian 2.prefab
'text	'Two ships are rapidly approaching tactical range. The larger one is armed with an array of weapons, heating up to fire.	'Zwei Schiffe nähern sich schnell der taktischen Reichweite. Das größere ist mit einer Reihe von Waffen bewaffnet, die sich zum Feuern aufheizen.	600		'1775334523:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'"GIVE GOOD CRYSTAL, LIVE."	'"GIB GUTEN KRISTALL, LEBE."	400		'1427416823:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'TAKE THREE WEAPONS, WE LEAVE, NO FIGHT.	'"NEHMEN SIE DREI WAFFEN, WIR GEHEN, KEIN KAMPF."	400		'788560099:dlc2/Ambusher L3b pirates, guardian 2.prefab

'Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'text	'Two advanced ships approaching, both armed with two heavy energy weapons.	'Zwei fortgeschrittene Schiffe nähern sich, beide bewaffnet mit zwei schweren Energiewaffen.	600		'339585287:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 959506369:dlc2/Ambusher L9b Moralors, large and small.prefab; 1452292669:dlc2/Ambusher L7b Moralors, medium and small.prefab
'title	'Moralor Testers	'Moral Tester	35		'1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab; 2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab
'text	'Ahh, travellers in need of guidance. We are the Moralors, the final guardians assuring this universe remains profoundly ethical. We do this by seeking out evil and destroying it. To test your morality, we have a simple test for you: should species with tentacles sleep so that their tentacles are on the left? Or on the right?	'"Ahh, Reisende, die der Führung bedürfen. Wir sind die Moralischen, die letzten Wächter, die sicherstellen, dass dieses Universum zutiefst ethisch bleibt. Wir tun dies, indem wir das Böse aufspüren und es zerstören. Um Ihre Moral zu testen, haben wir einen einfachen Test für Sie: Sollten Spezies mit Tentakeln so schlafen, dass ihre Tentakel auf der linken Seite sind? Oder auf der rechten Seite?"	400		'1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab

'Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'text	'A medium-size ship approaching, armed with numerous energy weapons.	'Ein mittelgroßes Schiff nähert sich, bewaffnet mit zahlreichen Energiewaffen.	600		'1301028205:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'title	'Moralor Redeemers	'Moralischer Erlöser	35		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'text	'We are the Moralors, the greatest guardians assuring this universe remains profoundly ethical. We in our great wisdom have decided you are not moral, and will give you now one final chance to redeem yourself. It is not in your place to question us. You can redeem yourself in intergalactic cash, naturally. We will put it into moral use.	'"Wir sind die Moralischen, die größten Wächter, die sicherstellen, dass dieses Universum zutiefst ethisch bleibt. Wir haben in unserer großen Weisheit entschieden, dass Sie nicht moralisch sind, und geben Ihnen nun eine letzte Chance, sich reinzuwaschen. Es steht Ihnen nicht zu, uns in Frage zu stellen. Sie können sich natürlich mit intergalaktischem Geld freikaufen. Wir werden es für moralische Zwecke einsetzen."	400		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'choiceText	'Pay 250 credits	'Zahlen Sie [-250 Kredite]	100		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'choiceText	'You deserve to end [prepare for combat]	'Sie verdienen es, zu enden [bereiten Sie sich auf den Kampf vor]	100		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; 1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"Aha! Looks like a clear case of Criminally Poor to me. The universe has spoken: those who do not have enough cash at hand to pay the Moralor redeemers are indeed totally unmoral and shall be righteously put do death."	'"Aha! Sieht für mich nach einem klaren Fall von "kriminell arm" aus. Das Universum hat gesprochen: Wer nicht genug Bargeld zur Hand hat, um die Moral-Einlöser zu bezahlen, ist in der Tat völlig unmoralisch und soll rechtschaffen zu Tode gebracht werden."	600		'1882427912:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'text2	'"Payment accepted. You must pay each of our Redeemer fleets separately. You should also be thankful that we have given you this opportunity to pay us. You should think back to this moment every now and then and say to yourself "Such a wonderful experience it was." Go in peace now."	'"Zahlung akzeptiert. Sie müssen jede unserer Erlöserflotten einzeln bezahlen. Ihr solltet auch dankbar sein, dass wir Euch die Möglichkeit gegeben haben, uns zu bezahlen. Sie sollten ab und zu an diesen Moment zurückdenken und sich sagen: "Was für eine wunderbare Erfahrung das war". Gehen Sie jetzt in Frieden."	400		'219573637:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; 1920203003:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'reasonToDisplay	'Moralor fleet paid	'Moralischen-Flotte bezahlt	30		'dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
