# RST localization TSV file for a build 1.3.6rc
#
# All files with tsv extension from the following directories are read on game start (relative to game installation):
#   Mods/
#   ../../workshop/content/812040/
#
# There are two ways to tell the game to use a specific language. One is by using cmd line arg
# "--language=German" and another option is to choose from the Language dropdown in the game.
#
# The game ONLY parses lines that:
# 1. start with ':' character. These are processing directives.
# 2. have at least 3 tab separated columns. These are dictionary entries. All strings are in UTF-8 encoding.
#
# Columns:
#  * "context/comment" just gives a hint where this line is in the game, it's not imported.
#  * "key" (case-sensitive) is a phrase matched in the game. If localization context is given (use-in column), both context and key must match.
#  * "translation" is what will be shown in the game.
#  * "max-len" is a hint how many characters approximately can the translation be without truncation or overflow. Not imported.
#  * "use-in" is empty by default, but localization context ids from usable-in column can be copied here to constrain where this line will be used.
#  * "usable-in" is a list of all localization context ids that can be copied into use-in. Not imported.
#
# use-in column format examples:
#  2035575234:Menu panel.prefab - points to one particular part inside menu prefab (that part has localization context id 2035575234)
#  310402963:Menu panel.prefab  - points to a different part inside menu prefab
#  2035575234:Menu panel.prefab; 310402963:Menu panel.prefab - points to both parts in menu panel
#  2035575234; 310402963 - short version of the previous line
#  2035575234:credits button in menu; 310402963:ship label in menu - same as previous line, but it shows that what's after ':' doesn't matter
#  Beam.cs - some parts of the game don't have loc ctx id, this is an example of it, it can't be used in use-in column
#
# A localization context is a non-changing integer assigned to some particular part of the game. The integer may be
# followed by some text, separated by ':', it is there just for commenting purposes and is ignored by the game.
#
# A longer guide how to edit this file and publish it in Steam Workshop is here:
# https://steamcommunity.com/sharedfiles/filedetails/?id=2244605825

# Display name should be the first non-comment, non-empty line. It marks that all the following lines are in that language.
:displayName Deutsch

# Plurals forms are used like described here, except the separator is '|'
# https://developer.mozilla.org/en-US/docs/Mozilla/Localization/Localization_and_Plurals#Developing_with_PluralForm
:mozillaPluralRuleNumber 1

# Columns (only the translation and use-in columns should be edited):
# comment	key	translation	max-len	use-in	usable-in

Beam.cs
title	Rainbow world	Regenbogen-Welt	35		757442773:1 P chemical soup FEO.prefab
text	This is one of the famous rainbow worlds, covered in super-active semibiological 'soup' of various rare chemicals. Seems like a good spot for harvesting organics, and possibly more.	Dies ist eine der berühmten Regenbogenwelten, bedeckt mit einer superaktiven semibiologischen "Suppe" aus verschiedenen seltenen Chemikalien. Scheint ein guter Ort zu sein, um organische Stoffe zu ernten, und möglicherweise noch mehr.	400		757442773:1 P chemical soup FEO.prefab
choiceText	Research local life and prospect for resources [send crew]	Erforschen Sie das Leben vor Ort und suchen Sie nach Ressourcen [Besatzung schicken].	100		757442773:1 P chemical soup FEO.prefab; 371940234:1 P fuelplants Ft.prefab
choiceText	Leave this planet untouched. Send bots for scientific samples and move on.	Lassen Sie den Planeten unangetastet. Schicken Sie Bots für wissenschaftliche Proben und ziehen Sie weiter.	100		757442773:1 P chemical soup FEO.prefab
newName3	rainbow world	Regenbogenwelt	25		757442773:1 P chemical soup FEO.prefab; 1767816495:4 P chemical soup FEO 02.prefab
text	research operation...	Forschungsoperation...	50		2084801901:1 P chemical soup FEO.prefab; 40395190:1 P chemical soup FEO.prefab; 535299823:1 P fuelplants Ft.prefab; 1009840345:3 P fir forest Or.prefab; 1920515851:1 P fuelplants Ft.prefab
text2	Extraction operation completed without incident. We were able to recover some of the resources used in the operation.	Extraktionsoperation ohne Zwischenfälle abgeschlossen. Wir konnten einige der Ressourcen, die bei der Operation verwendet wurden, zurückgewinnen.	400		21824954:1 P chemical soup FEO.prefab
text2	Research operation completed without incident. The crew also recorded some beautiful views.	Forschungsoperation ohne Zwischenfälle abgeschlossen. Die Besatzung hat auch einige schöne Aussichten aufgenommen.	400		1460304373:1 P chemical soup FEO.prefab
reasonToDisplay	research operation complete	Forschungsoperation abgeschlossen	30		1 P chemical soup FEO.prefab; 1P FOODx19, sh unique warp mushrooms.prefab; 1P FOODx19, sh unique warp mushrooms.prefab
text2	Research operation completed without incidents. The crew also recorded some beautiful views of the local scenery.	Der Forschungseinsatz wurde ohne Zwischenfälle abgeschlossen. Die Besatzung nahm auch einige schöne Ausblicke auf die lokale Landschaft auf.	400		360535623:1 P chemical soup FEO.prefab
title	Magnetic storms	Magnetische Stürme	35		360535622:1 P chemical soup FEO.prefab; 360535622:1 P chemical soup FEO.prefab
text2	Magnetic storms in the atmosphere were too powerful and damaged our ship. We decided its not worth the risk to try again.	Magnetische Stürme in der Atmosphäre waren zu stark und beschädigten unser Schiff. Wir haben beschlossen, dass es das Risiko nicht wert ist, es noch einmal zu versuchen.	400		360535622:1 P chemical soup FEO.prefab
reasonToDisplay	external damage	Externe Schäden	30		1 P chemical soup FEO.prefab

1 P cloning facility Co, possibly defsatellites.prefab
text	investigating planet... %	Erforschung des Planeten... %	50		1435673353:1 P cloning facility Co, possibly defsatellites.prefab
title	Cloning successful	Klonen erfolgreich	35		704250883:1 P cloning facility Co, possibly defsatellites.prefab; 209487209:1 P cloning facility Co, possibly defsatellites.prefab; 644790091:1 P cloning facility Co, possibly defsatellites.prefab
text2	The machine made unstable noises but completed the process. We see a confused human exiting the machine. Some basic neural teaching systems have given them a basic intellect, otherwise we'd have to deal with the mind of a newborn. We take the human aboard and our AI promises to teach them further skills on how to cope with existing. We also scavenge the cloning facility itself.	Die Maschine machte instabile Geräusche, schloss aber den Prozess ab. Wir sehen einen verwirrten Menschen, der die Maschine verlässt. Einige grundlegende neuronale Lehrsysteme haben ihm einen Grundintellekt gegeben, sonst hätten wir es mit dem Verstand eines Neugeborenen zu tun. Wir nehmen den Menschen an Bord und unsere KI verspricht, ihm weitere Fähigkeiten beizubringen, wie man mit dem Bestehenden umgeht. Wir bergen auch die Klonanlage selbst.	400		704250883:1 P cloning facility Co, possibly defsatellites.prefab
reasonToDisplay	cloning facility salvaged	Klonanlage geborgen	30		1 P cloning facility Co, possibly defsatellites.prefab; 1 P cloning facility Co, possibly defsatellites.prefab
crewDescriptionOverride	Freshly spawned human clone with some pre-existing neural training. Childlike personality.	Frisch gezeugter menschlicher Klon mit etwas vorbestehendem neuronalen Training. Kindliche Persönlichkeit.	250		1 P cloning facility Co, possibly defsatellites.prefab
newName3	worthless ruins	Wertlose Ruinen	25		704250883:1 P cloning facility Co, possibly defsatellites.prefab; 209487209:1 P cloning facility Co, possibly defsatellites.prefab; 522506458:4 P command center with potential nuke.prefab; 522506459:4 P command center with potential nuke.prefab; 623844455:4 P Ngani security station TE orbital mines.prefab; 826886907:1 P cloning facility Co, possibly defsatellites.prefab; 895968015:3 Pi primitive energy people TEm-f.prefab; 1111860855:2 Pi Ctulhufants TMOE.prefab; 1196328391:1 Pi jenbau, RT.prefab; 1217794356:4 Pi cactibugs, steal T.prefab; 1777728098:1 Pi jenbau, RT.prefab; 1985704685:1 P cloning facility Co, possibly defsatellites.prefab
title	Crew under attack!	Die Besatzung wird angegriffen.	35		1462146985:1 P cloning facility Co, possibly defsatellites.prefab
text2	The cloning machine does its thing and then stops. We hear a loud screech from inside the facility. Something breaks out from the cloning container and attacks our crew! It's a monstrous crab-like invertebrate.	Die Klonmaschine macht ihr Ding und hält dann an. Wir hören ein lautes Kreischen aus dem Inneren der Anlage. Etwas bricht aus dem Klon-Container aus und greift unsere Besatzung an! Es ist ein monströses, krabbenähnliches Wirbelloses.	400		1462146985:1 P cloning facility Co, possibly defsatellites.prefab
text	activating technology... %	Aktivieren der Technologie... %	50		437530020:1 P cloning facility Co, possibly defsatellites.prefab
text	We find a single large facility on the planet's surface. Closer inspection reveals it contains a single rapid cloning tube. And there's still some nutrients and target genotype blueprints inside its tank... unfortunately the blueprints are classified and encrypted. We could activate the facility to print a clone of some organism, but we won't know what comes out of this.	Wir finden eine einzelne große Anlage auf der Planetenoberfläche. Bei näherer Betrachtung zeigt sich, dass sie eine einzelne Schnellklonröhre enthält. Im Tank befinden sich Nährstoffe und Blaupausen der Zielgenotypen. Leider sind die Blaupausen verschlüsselt. Wir könnten die Anlage aktivieren, um einen Klon von irgendeinem Organismus zu drucken, aber wir werden nicht wissen, was dabei herauskommt.	400		744669981:1 P cloning facility Co, possibly defsatellites.prefab
choiceText	Activate the facility [-30 fuel]	Aktivieren Sie die Anlage [-30 Treibstoff]	100		744669981:1 P cloning facility Co, possibly defsatellites.prefab
text2	The machine makes unstable noises but completes the process. We see a confused alien exiting the machine. Luckily, some basic neural teaching systems have given the person a basic level intellect, otherwise we'd have to deal with the mind of a newborn. The ship AI promises to teach them further skills on how to cope with existing. We also scavenge the cloning facility itself.	Die Maschine gibt instabile Geräusche von sich, vollendet aber den Vorgang. Wir sehen einen verwirrten Außerirdischen, der die Maschine verlässt. Glücklicherweise haben einige grundlegende neuronale Lehrsysteme der Person einen Basis-Intellekt gegeben, sonst hätten wir es mit dem Verstand eines Neugeborenen zu tun. Die Schiffs-KI verspricht, ihnen weitere Fähigkeiten beizubringen, wie man mit der Existenz zurechtkommt. Wir plündern auch die Klonanlage selbst.	400		209487209:1 P cloning facility Co, possibly defsatellites.prefab
crewDescriptionOverride	Freshly spawned clone with some pre-existing neural training. Childlike personality.	Frisch gezeugter Klon mit etwas vorbestehendem neuronalen Training. Kindliche Persönlichkeit.	250		1 P cloning facility Co, possibly defsatellites.prefab
text2	Much confusion and chaos ensued. The creature's outer shell was protected by some kind of reflective biotech coating, directing some of our handgun rays back to the crew themselves. Finally, a precision shot from our ship killed the creature. We later used materials salvaged from its biotech coating to improve subskin armor implants of our crew.	Viel Verwirrung und Chaos folgten. Die äußere Hülle der Kreatur war durch eine Art reflektierende Biotech-Beschichtung geschützt, die einige unserer Handfeuerwaffenstrahlen zurück auf die Besatzung selbst lenkte. Schließlich tötete ein Präzisionsschuss von unserem Schiff die Kreatur. Später benutzten wir Materialien aus seiner Biotech-Beschichtung, um die Unterhautpanzerungen unserer Besatzung zu verbessern.	400		2091729100:1 P cloning facility Co, possibly defsatellites.prefab
reasonToDisplay	biotech extracted	Biotech extrahiert	30		1 P cloning facility Co, possibly defsatellites.prefab
text	fighting a monster... %	Kampf gegen ein Monster... %	50		274102002:1 P cloning facility Co, possibly defsatellites.prefab
text2	After the machine stops, a pair of combat animals exit the facility, attacking our nearby bots and operatives...	Nachdem die Maschine gestoppt wurde, verließen ein paar Kampftiere die Anlage und griffen unsere Bots und Agenten in der Nähe an...	400		644790091:1 P cloning facility Co, possibly defsatellites.prefab
text2	One of these artificial combat animals died during the fight, but we subdued the other one. After a bit of neuro-wizardry from our ship AI, we restored control of the creature. We also salvaged the facility.	Eines dieser künstlichen Kampftiere starb während des Kampfes, aber das andere konnten wir überwältigen. Nach ein wenig Neurozauberei durch unsere Schiffs-KI konnten wir die Kontrolle über die Kreatur wiederherstellen. Wir haben auch die Anlage geborgen.	400		826886907:1 P cloning facility Co, possibly defsatellites.prefab
reasonToDisplay	facility salvaged	Anlage geborgen	30		1 P cloning facility Co, possibly defsatellites.prefab; 2 P abandoned mine M, moonT.prefab
text	fighting... %	Kämpfen... %	50		918874256:1 P cloning facility Co, possibly defsatellites.prefab
text2	The cloning machine makes unstable noises but finally completes the process. We find some green goo in its cloning containers. It seems the facility was cloning edible biomass. We scoop it all up. We also scavenge the structure itself.	Die Klonmaschine macht instabile Geräusche, schließt aber schließlich den Prozess ab. Wir finden etwas grünen Glibber in den Klonbehältern. Es scheint, als hätte die Anlage essbare Biomasse geklont. Wir schaufeln alles auf. Wir plündern auch die Struktur selbst.	400		1985704685:1 P cloning facility Co, possibly defsatellites.prefab
reasonToDisplay	organics salvaged	Organik geborgen	30		1 P cloning facility Co, possibly defsatellites.prefab
text	"Warning. Access to this planet is restricted to GalProspect Incorporated only. Failure to respect property borders results in attack by orbital defences."	"Warnung. Der Zutritt zu diesem Planeten ist nur der GalProspect Incorporated gestattet. Nichtbeachtung der Eigentumsgrenzen führt zu einem Angriff der Orbitalverteidigung."	400		160592053:1 P cloning facility Co, possibly defsatellites.prefab; 654364573:3 P abyss MF, maybe satellite.prefab
choiceText	Print long-range missiles to neutralize the satellites from a safe distance [-20 explosives]	Drucken Sie Langstreckenraketen, um die Satelliten aus sicherer Entfernung zu neutralisieren [-20 Sprengstoff]	100		160592053:1 P cloning facility Co, possibly defsatellites.prefab; 13729591:1 P exotics mine, guarded by satellites M.prefab; 737581141:3 P mineral surface outcrops3 M, guarded by satellites m.prefab; 941336037:3 P shipwreck 4mt, maybe defsattelites.prefab
text2	Defence satellites destroyed.	Verteidigungssatelliten zerstört.	400		1014223498:1 P cloning facility Co, possibly defsatellites.prefab
text2	We send a swarm of printed missiles towards the satellite network. Their weapons are too short-ranged for effective counterfire, but their point-defences manage to pick off some of our missiles before they reach the target.	Wir schicken einen Schwarm gedruckter Raketen in Richtung des Satellitennetzes. Ihre Waffen haben eine zu kurze Reichweite für ein effektives Gegenfeuer, aber ihre Punktabwehr schafft es, einige unserer Raketen abzuschießen, bevor sie das Ziel erreichen.	400		1654156103:1 P cloning facility Co, possibly defsatellites.prefab
title	Some defences remain	Einige Verteidigungsanlagen bleiben bestehen	35		1736541518:1 P cloning facility Co, possibly defsatellites.prefab
text	A number of defence satellites remain intact. Next action?	Eine Reihe von Verteidigungssatelliten bleibt intakt. Nächste Aktion?	400		1736541518:1 P cloning facility Co, possibly defsatellites.prefab
choiceText	Fire more missiles [-20 explosives]	Mehr Raketen abfeuern [-20 Sprengstoffe]	100		1736541518:1 P cloning facility Co, possibly defsatellites.prefab; 417014118:1 P exotics mine, guarded by satellites M.prefab; 1214468984:3 P mineral surface outcrops3 M, guarded by satellites m.prefab; 1418223880:3 P shipwreck 4mt, maybe defsattelites.prefab
text	fighting defence satellites... %	Verteidigungssatelliten bekämpfen... %	50		1256074726:1 P cloning facility Co, possibly defsatellites.prefab; 190659696:1 P exotics mine, guarded by satellites M.prefab; 316845450:3 P mineral surface outcrops3 M, guarded by satellites m.prefab; 520600346:3 P shipwreck 4mt, maybe defsattelites.prefab; 772059403:1 P exotics mine, guarded by satellites M.prefab
text2	We close in on the planet, shooting with everything we've got. We receive some counterfire but manage to destroy all the satellites. The remains scattered too far and wide to salvage anything.	Wir nähern uns dem Planeten und schießen mit allem, was wir haben. Wir erhalten etwas Gegenfeuer, schaffen es aber, alle Satelliten zu zerstören. Die Überreste sind zu weit verstreut, um etwas zu bergen.	400		97000895:1 P cloning facility Co, possibly defsatellites.prefab

1 P cussian library M.prefab
name2	Planet with thin atmosphere	Planet mit dünner Atmosphäre	25		343548496:1 P cussian library M.prefab; 466114725:2 Pi white cavepeople M, want fuel.prefab; 685207217:2 P insectoid war ruins FME, moonFE and good nonweapons.prefab
name3	<<<encrypted broadcast>>>	<<Verschlüsselte Übertragung>>	25		343548496:1 P cussian library M.prefab
title	Cussian library	Cussianische Bibliothek	35		1272125031:1 P cussian library M.prefab
text	It is an ancient, autonomous library built by the Cussians. Their long-disappeared civilization is infamous for its cruelty, but also love of knowledge. The library might contain both traps and valuable data. It would be unwise to attempt dismantling the entire tower... the Cussians had access to terrible weapons, including warp rays that disrupt minds.	Es handelt sich um eine uralte, autonome Bibliothek, die von den Cussianern erbaut wurde. Ihre längst verschwundene Zivilisation ist berüchtigt für ihre Grausamkeit, aber auch für ihre Liebe zum Wissen. Die Bibliothek könnte sowohl Fallen als auch wertvolle Daten enthalten. Es wäre unklug, zu versuchen, den gesamten Turm zu demontieren... die Cussianer hatten Zugang zu schrecklichen Waffen, einschließlich Warp-Strahlen, die den Verstand stören.	400		1272125031:1 P cussian library M.prefab
choiceText	Explore library [send crew]	Bibliothek erforschen [Besatzung schicken]	100		1272125031:1 P cussian library M.prefab
choiceText	Explore library, consume exotics for mental fortitude [send crew, -1 exotics]	Bibliothek erforschen, Exoten für mentale Stärke verbrauchen [Besatzung schicken, -1 Exoten]	100		1272125031:1 P cussian library M.prefab
title	The Cussian libary	Die cussianische Bibliothek	35		838086979:1 P cussian library M.prefab; 838086970:1 P cussian library M.prefab; 838086982:1 P cussian library M.prefab; 838086984:1 P cussian library M.prefab
text2	The corridors of the library were packed full of warp ray traps designed to permanently injure visitors. Our crew was protected from the worst warp traps due to consumed exotics. The library administration AI offered us highly valuable data for free, including maps of faraway star systems, anatomical charts of rare alien species and other technical literature.	Die Korridore der Bibliothek waren voll mit Warpstrahlfallen, die darauf ausgelegt waren, Besucher dauerhaft zu verletzen. Unsere Besatzung war durch verbrauchte Exoten vor den schlimmsten Warp-Fallen geschützt. Die KI der Bibliotheksverwaltung bot uns kostenlos sehr wertvolle Daten an, darunter Karten von fernen Sternensystemen, anatomische Diagramme von seltenen Alien-Spezies und andere Fachliteratur.	400		838086979:1 P cussian library M.prefab
text2	The library contained a single severe trap- a warp ray effector hidden in a wall. One our crewmembers took a hit and survived due to exotics consumed earlier.The library administration AI offered us highly valuable data for free.	Die Bibliothek enthielt eine einzige schwere Falle - einen Warpstrahleffektor, der in einer Wand versteckt war. Eines unserer Besatzungsmitglieder bekam einen Treffer ab und überlebte dank der zuvor konsumierten Exoten. Die KI der Bibliotheksverwaltung bot uns sehr wertvolle Daten kostenlos an.	400		838086982:1 P cussian library M.prefab
text2	We investigated the halls and corridors of the library without finding any traps. Perhaps somebody benevolent has disabled all of them? The library administration AI offered us highly valuable data for free, including maps of faraway star systems, anatomical charts of rare alien species and other technical literature.	Wir untersuchten die Hallen und Korridore der Bibliothek, ohne irgendwelche Fallen zu finden. Vielleicht hat jemand Wohlwollendes sie alle ausgeschaltet? Die KI der Bibliotheksverwaltung bot uns kostenlos sehr wertvolle Daten an, darunter Karten von fernen Sternensystemen, anatomische Diagramme von seltenen Alien-Spezies und andere Fachliteratur.	400		838086984:1 P cussian library M.prefab
text	Traps triggered!	Fallen ausgelöst!	50		1451003800:1 P cussian library M.prefab
text	traps triggered!	Fallen ausgelöst!	50		1451003803:1 P cussian library M.prefab
title	Planet with minor atmosphere	Planet mit geringer Atmosphäre	35		1890267054:1 P cussian library M.prefab; 1968739745:235 P planetminerals, maybe junk satellites.prefab
text	A structure on the planet's surface is emitting some kind of uknown signal. The planet itself is uninteresting and lacks significant vegetation.	Eine Struktur auf der Oberfläche des Planeten strahlt eine Art unbekanntes Signal aus. Der Planet selbst ist uninteressant und verfügt über keine nennenswerte Vegetation.	400		1890267054:1 P cussian library M.prefab
text2	The halls and corridors of the library were packed full of traps designed to permanently injure visitors, so that they would remember their quest for knowledge forever. The library administration AI offered us highly valuable data for free, including maps of faraway star systems, anatomical charts of rare alien species and other technical literature.	Die Hallen und Korridore der Bibliothek waren voll mit Fallen, die darauf ausgelegt waren, die Besucher dauerhaft zu verletzen, damit sie sich für immer an ihre Suche nach Wissen erinnern würden. Die KI der Bibliotheksverwaltung bot uns kostenlos sehr wertvolle Daten an, darunter Karten von fernen Sternensystemen, anatomische Diagramme von seltenen Alien-Spezies und andere Fachliteratur.	400		838086970:1 P cussian library M.prefab
text	trap triggered!	Falle ausgelöst!	50		1451003801:1 P cussian library M.prefab

1 P dome city broken advanced MT.prefab
text	Ruins of advanced urban landscapes can be seen from orbit. It looks like a warzone between some of the elder species. No signs of life detected. Immense size gives the planet a high-gravity field.	Aus dem Orbit sind Ruinen von hochentwickelten Stadtlandschaften zu sehen. Es sieht aus wie ein Kriegsgebiet zwischen einigen der älteren Spezies. Keine Anzeichen von Leben entdeckt. Durch die enorme Größe hat der Planet ein hohes Schwerefeld.	400		155411668:1 P dome city broken advanced MT.prefab
choiceText	Explore [-15 fuel]	Erforschen [-15 Treibstoff]	100		155411668:1 P dome city broken advanced MT.prefab
newName3	advanced civilization ruins	Ruinen einer fortgeschrittenen Zivilisation	25		155411668:1 P dome city broken advanced MT.prefab
text2	The urban ruins were full of mines, automated defence turrets and partially active warbots. Fortunately, we had no casualties and our operatives hauled back two pieces of technology. Further exploration was deemed too dangerous and we've decided to move on.	Die städtischen Ruinen waren voller Minen, automatischer Verteidigungstürme und teilweise aktiver Kampfroboter. Glücklicherweise gab es keine Verluste und unsere Agenten konnten zwei Stück Technologie mitnehmen. Eine weitere Erkundung wurde als zu gefährlich erachtet und wir haben beschlossen, weiterzuziehen.	400		1801652191:1 P dome city broken advanced MT.prefab
reasonToDisplay	technology found	Technologie gefunden	30		1 P dome city broken advanced MT.prefab
text	Exploring... %	Erkundung... %	50		991605391:1 P dome city broken advanced MT.prefab; 907116609:1 P dome city broken advanced MT.prefab; 1076128168:5 P conflict remains x4.prefab; 1160093365:4 P ocean planet mT.prefab; 1244582147:4 P ocean planet mT.prefab
title	Ancient Warbots	Antike Kampfroboter	35		1868857265:1 P dome city broken advanced MT.prefab; 1868857264:1 P dome city broken advanced MT.prefab
text2	Our scavengers were ambushed by advanced war bots hiding in the ruins. We decided to leave this planet after recovering the surviving operatives and what little they gathered.	Unsere Plünderer gerieten in einen Hinterhalt von fortschrittlichen Kampfrobotern, die sich in den Ruinen versteckten. Wir beschlossen, den Planeten zu verlassen, nachdem wir die überlebenden Agenten und das Wenige, was sie gesammelt hatten, geborgen hatten.	400		1868857265:1 P dome city broken advanced MT.prefab
reasonToDisplay	operation aborted	Operation abgebrochen	30		1 P dome city broken advanced MT.prefab; 1 P dome city broken advanced MT.prefab; 1 P fuelplants Ft.prefab; 1 P fuelplants Ft.prefab; 1 P oretree exo.prefab; 2 P abandoned mine, metallic dust storms ME.prefab; 2 P blackmucus F,E.prefab; 2 P mossplanet o.prefab; 2 P shipwreck 3mt.prefab; 2 P sulphur city Er.prefab; 4 P ocean planet mT.prefab; 4 P ocean planet mT.prefab; 1P FOODx19, sh unique warp mushrooms.prefab; 1P FOODx19, sh unique warp mushrooms.prefab; 1P FOODx19, sh unique warp mushrooms.prefab; 1P FOODx19, sh unique warp mushrooms.prefab
text	Broken habitation domes dot the landscape. Signs of thermonuclear and heavy energy warfare are visible everywhere. This place could be full of hazardous conflict remains. Unknown urban technology patterns require the presence of crew for a successful salvage mission.	Zerstörte Wohnkuppeln übersäen die Landschaft. Überall sind Anzeichen von thermonuklearer und Schwerenergie-Kriegsführung zu sehen. Dieser Ort könnte voll von gefährlichen Konfliktresten sein. Unbekannte urbane Technologiemuster erfordern die Anwesenheit einer Besatzung für eine erfolgreiche Bergungsmission.	400		527651942:1 P dome city broken advanced MT.prefab
choiceText	Explore & scavenge [send crew, -5 fuel]	Erkunden & plündern [Besatzung schicken, -5 Treibstoff]	100		527651942:1 P dome city broken advanced MT.prefab
newName3	advanced ruins	Fortschrittliche Ruinen	25		527651942:1 P dome city broken advanced MT.prefab
text2	We were ambushed by advanced war bots hiding in the ruins. Our scavenger team received multiple hits before neutralizing the threat. We decided the planet was too dangerous to continue the operation.	Wir gerieten in einen Hinterhalt von fortschrittlichen War Bots, die sich in den Ruinen versteckten. Unser Plünderungsteam erhielt mehrere Treffer, bevor es die Bedrohung neutralisieren konnte. Wir haben entschieden, dass der Planet zu gefährlich ist, um die Operation fortzusetzen.	400		1868857264:1 P dome city broken advanced MT.prefab
text2	It seems this planet has been looted countless times in the past, as valuable materials seem to be scavenged from almost every object of interest we spotted. There was little left to take.	Es scheint, als wäre dieser Planet in der Vergangenheit schon unzählige Male geplündert worden, da wertvolle Materialien von fast jedem interessanten Objekt, das wir entdeckten, erbeutet wurden. Es gab nur noch wenig, was wir mitnehmen konnten.	400		1868857267:1 P dome city broken advanced MT.prefab

1 P exotics mine, guarded by satellites M.prefab
text2	We successfully detonate the security gates of the mine. It seems mining was temporarily put on hold here and never resumed. There were several exotic mineral seams exposed and our bots mined from there until they no longer could. The operation was a big success.	Wir sprengen erfolgreich die Sicherheitsschleusen der Mine. Es scheint, dass der Bergbau hier vorübergehend eingestellt und nie wieder aufgenommen wurde. Es wurden mehrere exotische Mineralienflöze freigelegt und unsere Bots bauten dort ab, bis sie nicht mehr konnten. Die Operation war ein großer Erfolg.	400		82601825:1 P exotics mine, guarded by satellites M.prefab
reasonToDisplay	exotics mined	Exoten abgebaut	30		1 P exotics mine, guarded by satellites M.prefab; 1 P exotics mine, guarded by satellites M.prefab; 1 P oretree exo.prefab; 5 Pi carniplants Rom.prefab
title	Exotics mine	Exoten abgebaut	35		956085224:1 P exotics mine, guarded by satellites M.prefab
text	The mining site is a mountain of hardstone with a tunnel going in. Markings indicate it's an exotics mine. The tunnel leads to a thick crysteel security door within the tunnel. We need to get it open before proceeding.	Die Abbaustelle ist ein Berg aus Hartgestein mit einem Tunnel, der hineinführt. Markierungen weisen darauf hin, dass es sich um eine Exoten-Mine handelt. Der Tunnel führt zu einer dicken Sicherheitstür aus Kristallstahl im Inneren des Tunnels. Wir müssen sie öffnen, bevor wir weitermachen.	400		956085224:1 P exotics mine, guarded by satellites M.prefab
choiceText	Use explosives [-30 explosives]	Sprengstoff verwenden [-30 Sprengstoffe]	100		956085224:1 P exotics mine, guarded by satellites M.prefab
choiceText	Use energy cutters [-30 fuel]	Energieschneider verwenden [-30 Treibstoff]	100		956085224:1 P exotics mine, guarded by satellites M.prefab
newName3	mining planet	Bergbauplanet	25		956085224:1 P exotics mine, guarded by satellites M.prefab
text	"We do not have enough resources needed for the task."	"Wir haben nicht genügend Ressourcen für diese Aufgabe."	600		1212248921:1 P exotics mine, guarded by satellites M.prefab; 508524067:5 P nanobot atmosphere R.prefab; 508524070:5 P nanobot atmosphere R.prefab; 853709330:3 P lost alien fuelpod F.prefab; 868199669:3 P abyss MF, maybe satellite.prefab; 868199674:3 P abyss MF, maybe satellite.prefab; 1106092738:P precursor tech MT, possibly dysfunctional visited icon.prefab; 1190846976:2 P abandoned mine, metallic dust storms ME.prefab; 1212248926:1 P exotics mine, guarded by satellites M.prefab; 1735196927:1P FOODx19, sh unique warp mushrooms.prefab; 1735196928:1P FOODx19, sh unique warp mushrooms.prefab; 1735196930:1P FOODx19, sh unique warp mushrooms.prefab; 1884329493:4 P precursor tech cave MoT, good weaponsx3.prefab; 1884329494:4 P precursor tech cave MoT, good weaponsx3.prefab; 1884329499:4 P precursor tech cave MoT, good weaponsx3.prefab; 2098405175:38 P jellyfish colony.prefab; 2098405176:38 P jellyfish colony.prefab; 2100360977:4 Pi Shop nukes in dark tower.prefab
title	Exotics collected	Exoten gesammelt	35		149806898:1 P exotics mine, guarded by satellites M.prefab
text2	We successfully cut through the security door. It seems mining was temporarily put on hold here and never resumed. There were several exposed seams of exotic minerals and our bots mined from there until they no longer could. The operation was a big success.	Wir haben erfolgreich die Sicherheitstür durchbrochen. Es scheint, dass der Bergbau hier vorübergehend unterbrochen und nie wieder aufgenommen wurde. Es gab mehrere freiliegende Flöze mit exotischen Mineralien und unsere Bots bauten dort ab, bis sie nicht mehr konnten. Die Operation war ein großer Erfolg.	400		149806898:1 P exotics mine, guarded by satellites M.prefab
text	demolition operation... %	Abbrucharbeiten... %	50		608417631:1 P exotics mine, guarded by satellites M.prefab; 147571177:4 P precursor tech cave MoT, good weaponsx3.prefab; 274517196:2 P armored station TM orbital mines.prefab
text	installing cutters... %	Installation von Energieschneidern... %	50		1859100570:1 P exotics mine, guarded by satellites M.prefab; 383697495:4 P precursor tech cave MoT, good weaponsx3.prefab
text	"Warning. Access to this mining planet is restricted to Intelligent Banks TM authorized vessels. Failure to respect property borders will result in attack by orbital defences."	"Warnung. Der Zugang zu diesem Bergbauplaneten ist auf autorisierte Intelligenten BankTM-Schiffe beschränkt. Nichtbeachtung der Eigentumsgrenzen führt zu einem Angriff der orbitalen Verteidigungsanlagen."	400		13729591:1 P exotics mine, guarded by satellites M.prefab
text2	We managed to destroy the defence satellites. Their weapons were too short-ranged to reach us.	Es gelang uns, die Verteidigungssatelliten zu zerstören. Ihre Waffen hatten eine zu kurze Reichweite, um uns zu erreichen.	400		495249411:1 P exotics mine, guarded by satellites M.prefab
